world,country,yield_61_to_80,yield_81_to_01
new,Costa_Rica,9139,14620
new,Bolivia,7686,8767
new,El_Salvador,9996,8729
new,Guatemala,5488,8231
new,Colombia,5920,7740
new,Honduras,4096,7264
new,Nicaragua,4566,6408
new,Brazil,4965,6283
new,Peru,5487,5740
new,Mexico,5227,5116
new,Panama,2347,4124
new,Ecuador,3089,3240
new,Venezuela,1938,2789
old,Vietnam,4251,13380
old,Papua_NG,10522,11561
old,Thailand,3509,9652
old,Philippines,10028,9593
old,Ethiopia,5667,8797
old,Sri_Lanka,17064,7869
old,India,5904,7354
old,Malaysia,4001,7288
old,Kenya,6604,6055
old,Tanzania,4738,5432
old,Indonesia,5716,5394
old,Madagascar,3824,3576
old,Cameroon,3525,3141
old,Ivory_Coast,3393,2391
old,Ghana,3213,2136
