"density","block","fertilizer","yield"
"1","1","1",177.228692278688
"2","2","1",177.550041265426
"1","3","1",176.408461852371
"2","4","1",177.703625478918
"1","1","1",177.125486343584
"2","2","1",176.778342481435
"1","3","1",176.746301895632
"2","4","1",177.061164221059
"1","1","1",176.274949297277
"2","2","1",177.967202929576
"1","3","1",176.601299834494
"2","4","1",177.030542802918
"1","1","1",177.479507160588
"2","2","1",176.874129801452
"1","3","1",176.114388315927
"2","4","1",176.008394511531
"1","1","1",176.108312589654
"2","2","1",178.35744091425
"1","3","1",177.262445084271
"2","4","1",176.918844938972
"1","1","1",176.239015775225
"2","2","1",176.573069754873
"1","3","1",176.039297939843
"2","4","1",176.817922165499
"1","1","1",176.160586502816
"2","2","1",177.226424131397
"1","3","1",175.938533030004
"2","4","1",177.16493668281
"1","1","1",175.360839598647
"2","2","1",177.276995681026
"1","3","1",175.945443795425
"2","4","1",175.882779618556
"1","1","2",176.479340919814
"2","2","2",176.0443421205
"1","3","2",177.412461749009
"2","4","2",177.360818239535
"1","1","2",177.385499180836
"2","2","2",176.975807696393
"1","3","2",177.379778689577
"2","4","2",177.99799506429
"1","1","2",176.434862565867
"2","2","2",176.933265092142
"1","3","2",175.983480169992
"2","4","2",177.034092659355
"1","1","2",176.436762368181
"2","2","2",176.06774497035
"1","3","2",177.121048632786
"2","4","2",177.197721367386
"1","1","2",176.60372408049
"2","2","2",177.208171431058
"1","3","2",177.148828595107
"2","4","2",176.819076695268
"1","1","2",176.999066949946
"2","2","2",178.134604582348
"1","3","2",176.429156002757
"2","4","2",176.668322935082
"1","1","2",176.895866859859
"2","2","2",177.779492860266
"1","3","2",176.414495002246
"2","4","2",176.878897743394
"1","1","2",177.580683078112
"2","2","2",176.957268920193
"1","3","2",175.747545582883
"2","4","2",177.352595079015
"1","1","3",177.104186398865
"2","2","3",178.079635168278
"1","3","3",176.903422145535
"2","4","3",177.540284161493
"1","1","3",177.03270969652
"2","2","3",178.28604192157
"1","3","3",176.405410230471
"2","4","3",176.430830126686
"1","1","3",177.396330635021
"2","2","3",176.92557577835
"1","3","3",177.055045778695
"2","4","3",177.344163946335
"1","1","3",177.128367531761
"2","2","3",177.168302204533
"1","3","3",176.353940642858
"2","4","3",179.060899036915
"1","1","3",176.300517050366
"2","2","3",177.59335237605
"1","3","3",177.115245241837
"2","4","3",177.794457435485
"1","1","3",177.004038102495
"2","2","3",178.036858366448
"1","3","3",177.701366283038
"2","4","3",177.632808263613
"1","1","3",177.652274608017
"2","2","3",177.100417857738
"1","3","3",177.187967031073
"2","4","3",177.405291855943
"1","1","3",178.14164435679
"2","2","3",177.710612540335
"1","3","3",177.687264356834
"2","4","3",177.118175977614
