SEX,AGE,COURSE,SATUNITS,SUNUNITS,MONUNITS,DAYCIGS
M,20 ,FB,26 ,18 ,26 ,20 
M,20 ,FB,3 ,2 ,0 ,5 
F,19 ,FB,1 ,2 ,0 ,5 
F,21 ,FB,2 ,2 ,6 ,0 
M,21 ,FB,6 ,8 ,8 ,0 
M,19 ,FB,4 ,10 ,6 ,0 
M,22 ,FB,19 ,0 ,15 ,7 
M,23 ,FB,15 ,0 ,18 ,0 
M,19 ,FB,24 ,6 ,24 ,0 
M,22 ,FB,10 ,8 ,20 ,0 
F,19 ,FB,7 ,1 ,7 ,0 
M,19 ,FB,0 ,4 ,16 ,0 
F,20 ,FB,40 ,60 ,40 ,80 
F,19 ,FB,15 ,2 ,6 ,15 
F,20 ,FB,4 ,1 ,3 ,0 
F,20 ,FB,1 ,0 ,0 ,0 
F,20 ,FB,4 ,0 ,7 ,0 
M,20 ,FB,9 ,6 ,0 ,0 
M,19 ,FB,18 ,0 ,6 ,0 
F,21 ,FB,10 ,4 ,8 ,0 
F,19 ,FB,0 ,2 ,6 ,20 
M,19 ,FB,24 ,0 ,20 ,5 
F,22 ,FB,10 ,0 ,8 ,0 
F,19 ,FB,6 ,1 ,0 ,0 
F,19 ,FB,5 ,2 ,4 ,0 
F,37 ,FB,0 ,0 ,0 ,0 
F,19 ,FB,1 ,0 ,0 ,0 
M,20 ,FB,16 ,0 ,10 ,15 
F,32 ,FB,0 ,0 ,0 ,0 
M,23 ,FB,0 ,4 ,16 ,10 
M,20 ,FB,8 ,0 ,10 ,10 
F,19 ,FB,5 ,0 ,0 ,0 
M,25 ,FB,5 ,3 ,4 ,10 
M,20 ,FB,0 ,0 ,4 ,0 
M,19 ,FB,22 ,4 ,16 ,20 
M,20 ,FB,24 ,8 ,0 ,30 
F,22 ,FB,0 ,0 ,2 ,5 
M,19 ,FB,0 ,0 ,0 ,20 
F,19 ,FB,1 ,0 ,0 ,0 
F,24 ,FP,0 ,0 ,0 ,0 
F,32 ,FP,1 ,3 ,1 ,0 
F,21 ,FP,3 ,2 ,0 ,0 
F,21 ,FP,5 ,5 ,0 ,0 
F,21 ,FP,0 ,0 ,0 ,0 
F,21 ,FP,4 ,2 ,0 ,0 
F,22 ,FP,0 ,0 ,0 ,0 
M,22 ,FP,0 ,0 ,8 ,0 
F,22 ,FP,0 ,0 ,0 ,0 
F,21 ,FP,8 ,0 ,8 ,0 
F,24 ,FP,0 ,0 ,0 ,0 
F,21 ,FP,4 ,5 ,9 ,0 
M,21 ,FP,6 ,0 ,0 ,0 
F,35 ,FP,0 ,0 ,0 ,20 
F,37 ,FP,5 ,2 ,0 ,15 
M,35 ,FP,2 ,2 ,0 ,20 
F,25 ,FP,6 ,0 ,6 ,0 
M,23 ,FP,0 ,8 ,12 ,0 
M,27 ,FP,2 ,6 ,8 ,10 
M,23 ,FP,12 ,0 ,4 ,0 
F,25 ,FP,0 ,0 ,0 ,0 
M,21 ,FP,4 ,0 ,0 ,0 
F,25 ,FP,3 ,0 ,0 ,5 
M,24 ,FP,2 ,0 ,3 ,0 
M,23 ,FP,6 ,0 ,10 ,0 
M,23 ,FP,14 ,2 ,4 ,0 
F,23 ,FP,3 ,2 ,3 ,0 
F,22 ,FP,4 ,4 ,5 ,15 
F,29 ,FP,4 ,0 ,5 ,0 
F,22 ,FP,4 ,2 ,3 ,0 
F,32 ,PP,5 ,2 ,0 ,25 
F,38 ,PP,0 ,0 ,0 ,0 
F,32 ,PP,12 ,3 ,0 ,0 
F,51 ,PP,3 ,1 ,0 ,0 
M,24 ,PP,0 ,0 ,0 ,0 
M,53 ,PP,0 ,0 ,0 ,0 
F,25 ,PP,2 ,4 ,0 ,0 
F,29 ,PP,0 ,0 ,0 ,0 
F,36 ,PP,2 ,0 ,0 ,0 
F,44 ,PP,2 ,2 ,0 ,0 
F,24 ,PP,0 ,2 ,0 ,0 
F,26 ,PP,0 ,0 ,0 ,0 
F,21 ,PP,0 ,0 ,0 ,0 
F,46 ,PP,0 ,2 ,0 ,0 
F,47 ,PP,4 ,2 ,0 ,0 
M,46 ,PP,0 ,1 ,0 ,0 
F,44 ,PP,4 ,0 ,0 ,0 
F,38 ,PP,6 ,3 ,0 ,0 
F,28 ,PP,4 ,2 ,0 ,0 
F,35 ,PP,4 ,2 ,2 ,5 
F,23 ,PP,0 ,0 ,0 ,7 
M,35 ,PP,1 ,2 ,0 ,10 
F,32 ,PP,0 ,0 ,0 ,0 
