date,year,month,open,high,low,close,volume,id
1/30/14,2014,1,502.54,506.5,496.7,499.78,24182996,1
1/29/14,2014,1,503.95,507.37,498.62,500.75,17991828,2
1/28/14,2014,1,508.76,515,502.07,506.5,38119083,3
1/27/14,2014,1,550.07,554.8,545.75,550.5,20602736,4
1/24/14,2014,1,554,555.62,544.75,546.07,15483491,5
1/23/14,2014,1,549.94,556.5,544.81,556.18,14425478,6
1/22/14,2014,1,550.91,557.29,547.81,551.51,13602762,7
1/21/14,2014,1,540.99,550.07,540.42,549.07,11750792,8
1/17/14,2014,1,551.48,552.07,539.9,540.67,15489527,9
1/16/14,2014,1,554.9,556.85,551.68,554.25,8210190,10
1/15/14,2014,1,553.52,560.2,551.66,557.36,14067517,11
1/14/14,2014,1,538.22,546.73,537.66,546.39,11962053,12
1/13/14,2014,1,529.91,542.5,529.88,535.73,13551549,13
1/10/14,2014,1,539.83,540.8,531.11,532.94,10902952,14
1/9/14,2014,1,546.8,546.86,535.35,536.52,9986457,15
1/8/14,2014,1,538.81,545.56,538.69,543.46,9240955,16
1/7/14,2014,1,544.32,,537.92,540.04,11347538,17
1/6/14,2014,1,537.45,546.8,533.6,543.93,14765593,18
1/3/14,2014,1,552.86,553.7,540.43,540.98,14043410,19
1/2/14,2014,1,555.68,557.03,552.02,553.13,8398851,20
12/31/13,2013,12,554.17,561.28,554,561.02,7974196,21
12/30/13,2013,12,557.46,560.09,552.32,554.52,9058246,22
12/27/13,2013,12,563.82,564.41,559.5,560.09,8067331,23
12/26/13,2013,12,568.1,569.5,563.38,563.9,7286005,24
12/24/13,2013,12,569.89,571.88,566.03,567.67,5984105,25
12/23/13,2013,12,568,570.72,562.76,570.09,17903833,26
12/20/13,2013,12,545.34,551.61,544.82,549.02,15586205,27
12/19/13,2013,12,548.65,550,543.73,544.46,11462767,28
12/18/13,2013,12,547.46,551.45,538.8,550.77,20209401,29
12/17/13,2013,12,555.7,559.44,553.38,554.99,8210807,30
12/16/13,2013,12,555.61,562.64,555.01,557.5,10092636,31
12/13/13,2013,12,562.39,562.88,553.67,554.43,11886469,32
12/12/13,2013,12,562.69,565.34,560.03,560.54,9367474,33
12/11/13,2013,12,567.04,570.97,559.69,561.36,12847099,34
12/10/13,2013,12,563.64,567.88,561.2,565.55,9938230,35
12/9/13,2013,12,560.95,569.58,560.9,566.43,11446219,36
12/6/13,2013,12,565.79,566.75,559.57,560.02,12298336,37
12/5/13,2013,12,572.65,575.14,566.41,567.9,15985045,38
12/4/13,2013,12,565.5,569.19,560.82,565,13493238,39
12/3/13,2013,12,558.3,566.38,557.68,566.32,16105962,40
12/2/13,2013,12,558,564.33,550.82,551.23,16876555,41
11/29/13,2013,11,549.48,558.33,547.81,556.07,11361745,42
11/27/13,2013,11,536.31,546,533.4,545.96,12980263,43
11/26/13,2013,11,524.12,536.14,524,533.4,14335104,44
11/25/13,2013,11,521.02,525.87,521,523.74,8192629,45
11/22/13,2013,11,519.52,522.16,518.53,519.8,7990176,46
11/21/13,2013,11,517.6,521.21,513.67,521.14,9358123,47
11/20/13,2013,11,519.23,520.42,514.33,515,6935114,48
11/19/13,2013,11,519.03,523.38,517.97,519.55,7462101,49
11/18/13,2013,11,524.99,527.19,518.2,518.63,8748032,50
11/15/13,2013,11,526.58,529.09,524.49,524.99,11354252,51
11/14/13,2013,11,522.81,529.28,521.87,528.16,10086441,52
11/13/13,2013,11,518,522.25,516.96,520.63,7043561,53
11/12/13,2013,11,517.67,523.92,517,520.01,7302093,54
11/11/13,2013,11,519.99,521.67,514.41,519.05,8123329,55
11/8/13,2013,11,514.58,521.13,512.59,520.56,9975649,56
11/7/13,2013,11,519.58,523.19,512.38,512.49,9379300,57
11/6/13,2013,11,524.15,524.86,518.2,520.92,7977736,58
11/5/13,2013,11,524.58,528.88,523,525.45,9481153,59
11/4/13,2013,11,521.1,526.82,518.81,526.75,8736719,60
11/1/13,2013,11,524.02,524.8,515.84,520.03,9817472,61
10/31/13,2013,10,525,527.49,521.27,522.7,9846255,62
10/30/13,2013,10,519.61,527.52,517.02,524.9,12648671,63
10/29/13,2013,10,536.27,539.25,514.54,516.68,22707445,64
10/28/13,2013,10,529.04,531,523.21,529.88,19658589,65
10/25/13,2013,10,531.32,533.23,525.11,525.96,12003283,66
10/24/13,2013,10,525,532.47,522.45,531.91,12359914,67
10/23/13,2013,10,519,525.67,519,524.96,11204446,68
10/22/13,2013,10,526.4,528.45,508.03,519.87,19073679,69
10/21/13,2013,10,511.77,524.3,511.52,521.36,14218135,70
10/18/13,2013,10,505.99,509.26,505.71,508.89,10376510,71
10/17/13,2013,10,499.98,504.78,499.68,504.5,9056905,72
10/16/13,2013,10,500.79,502.53,499.23,501.11,8967859,73
10/15/13,2013,10,497.5,502,495.52,498.68,11431229,74
10/14/13,2013,10,489.83,497.58,489.35,496.04,9353506,75
10/11/13,2013,10,486.99,493.84,485.16,492.81,9562134,76
10/10/13,2013,10,491.32,492.38,487.04,489.64,9950070,77
10/9/13,2013,10,484.64,487.79,478.28,486.59,10775888,78
10/8/13,2013,10,489.94,490.64,480.54,480.94,10262868,79
10/7/13,2013,10,486.56,492.65,485.35,487.75,11153301,80
10/4/13,2013,10,483.86,484.6,478.6,483.03,9245340,81
10/3/13,2013,10,490.51,492.35,480.74,483.41,11526929,82
10/2/13,2013,10,485.63,491.8,483.75,489.56,10222866,83
10/1/13,2013,10,478.45,489.14,478.38,487.96,12638665,84
9/30/13,2013,9,477.25,481.66,474.41,476.75,9230794,85
9/27/13,2013,9,483.78,484.67,480.72,482.75,8144247,86
9/26/13,2013,9,486,488.56,483.9,486.22,8472169,87
9/25/13,2013,9,489.2,489.64,481.43,481.53,11319881,88
9/24/13,2013,9,494.88,495.47,487.82,489.1,13012249,89
9/23/13,2013,9,496.1,496.91,482.6,490.64,27105959,90
9/20/13,2013,9,478,478.55,466,467.41,24975046,91
9/19/13,2013,9,470.7,475.83,469.25,472.3,14447816,92
9/18/13,2013,9,463.18,466.35,460.66,464.68,16316472,93
9/17/13,2013,9,447.96,459.71,447.5,455.32,14263539,94
9/16/13,2013,9,461,461.61,447.22,450.12,19591095,95
9/13/13,2013,9,469.34,471.83,464.7,464.9,10672634,96
9/12/13,2013,9,468.5,475.4,466.01,472.69,14430353,97
9/11/13,2013,9,467.01,473.69,464.81,467.71,31932384,98
9/10/13,2013,9,506.2,507.45,489.5,494.64,26542696,99
9/9/13,2013,9,505,507.92,503.48,506.17,12010661,100
